log_name,max_l2_dist,min_l2_dist,mean_l2_dist,max_cos_dist,min_cos_dist,mean_cos_dist
baseline_0,14.14,5.09,9.38,1.0,-0.37,0.13
task_0,12.9,5.41,9.23,1.0,-0.3,0.09
task-domain_0,13.36,5.37,9.48,1.0,-0.33,0.06
task_1,14.45,5.46,10.39,1.0,-0.28,0.1
task-domain_1,13.76,6.57,10.47,1.0,-0.36,0.06
task_2,14.83,9.5,11.96,1.0,-0.22,0.03
task-domain_2,14.69,9.19,11.74,1.0,-0.25,0.02
task_3,14.84,11.39,12.41,1.0,-0.17,0.02
task-domain_3,14.84,9.89,11.83,1.0,-0.2,0.02
task_4,14.65,10.56,12.21,1.0,-0.19,0.04
task-domain_4,14.45,8.74,11.77,1.0,-0.3,0.04
domain_0,4.07,1.66,2.52,1.0,0.12,0.56
domain_1,5.94,2.27,3.69,1.0,-0.1,0.27
domain_2,5.76,2.96,4.11,1.0,-0.32,0.19
domain_3,6.87,3.7,4.72,1.0,-0.25,0.14
domain_4,6.51,4.03,5.0,1.0,-0.27,0.15
baseline_1,14.8,7.85,11.33,1.0,-0.3,0.03
baseline_2,14.57,7.55,11.07,1.0,-0.25,0.07
baseline_3,14.89,10.78,12.23,1.0,-0.2,0.03
baseline_4,15.05,11.3,12.43,1.0,-0.18,0.02
baseline_margin_0,13.67,4.42,8.86,1.0,-0.24,0.17
baseline_entropy_0,12.78,4.65,8.84,1.0,-0.27,0.13
baseline_lc_0,13.58,4.15,9.0,1.0,-0.3,0.12
baseline_random_0,14.14,5.09,9.38,1.0,-0.37,0.13
task_random_0,13.17,5.12,8.85,1.0,-0.39,0.15
task_margin_0,13.48,5.68,9.7,1.0,-0.34,0.08
task_lc_0,12.74,4.95,8.36,1.0,-0.39,0.14
task_entropy_0,13.21,5.49,9.24,1.0,-0.28,0.09
task-domain_entropy_0,13.34,3.31,8.72,1.0,-0.32,0.14
task-domain_lc_0,12.7,4.08,8.87,1.0,-0.3,0.14
task-domain_random_0,14.28,4.55,9.43,1.0,-0.33,0.12
task-domain_margin_0,13.36,5.37,9.48,1.0,-0.33,0.06
task_random_1,14.34,6.8,10.45,1.0,-0.35,0.08
task_margin_1,15.04,8.92,11.35,1.0,-0.25,0.03
task_lc_1,14.02,7.66,10.53,1.0,-0.3,0.05
task_entropy_1,14.29,5.48,10.4,1.0,-0.3,0.1
task-domain_lc_1,13.83,4.93,10.07,1.0,-0.26,0.08
task-domain_random_1,14.17,4.55,9.65,1.0,-0.33,0.21
task-domain_entropy_1,14.73,6.96,10.71,1.0,-0.32,0.06
task-domain_margin_1,13.76,6.57,10.47,1.0,-0.36,0.06
task_random_2,14.39,7.51,11.06,1.0,-0.28,0.07
task_margin_2,15.26,7.51,11.47,1.0,-0.31,0.05
task_lc_2,14.98,10.86,12.26,1.0,-0.2,0.01
task_entropy_2,15.03,9.77,11.9,1.0,-0.23,0.03
task-domain_random_2,14.83,9.97,11.8,1.0,-0.25,0.02
task-domain_lc_2,14.82,8.79,11.72,1.0,-0.28,0.03
task-domain_entropy_2,14.85,9.72,12.07,1.0,-0.18,0.02
task-domain_margin_2,14.69,9.19,11.74,1.0,-0.25,0.02
